city,region,price_index_no_rent,price_index_with_rent,gross_salaries,net_salaries,work_hours_year,paid_vacations_year,gross_buying_power,net_buying_power,bread_kg_work_time,burger_work_time,food_expenses,shopping_basket,women_apparel,men_apparel,bed4_apt_furnished,bed3_apt_unfurnished,rent_cost,home_appliances,public_transportation,taxi,car,restaurant,hotel_night,various_services,tax_pct_gross_salary,net_hourly_salary,teacher,bus_driver,mechanic,construction_worker,metalworker,cook_chef,factory_manager,engineer,bank_clerk,executive_secretary,salesperson,textile_worker
Prague,Eastern Europe,35.9,34.8,6.4,6.4,1978,19.5,17.9,17.8,23,141,149,699,160,220,980,520,40,2000,0.2,2.62,6500,10,236,110,21.1,1.1,1800,2800,2900,1700,2600,3800,5500,2900,3500,2200,1700,1100
RiodeJaneiro,South America,54.8,60.6,10.5,12.2,1857,24,19.1,22.2,39,107,244,1067,230,380,2450,1580,450,2180,0.28,2.58,15300,19,194,260,7.8,2.1,2000,4700,3000,1400,4300,3200,22800,11100,6800,6700,4400,2000
SaoPaulo,South America,54.2,61.1,14.4,14.9,1827,30.7,26.7,27.6,30,84,248,1054,180,320,2490,1430,590,1790,0.4,3.63,16000,40,266,330,14.6,2.7,3600,4700,5400,1900,7600,6100,16800,11600,6000,6700,3600,2400
Seoul,East Asia,82.4,87.3,29.4,28.4,2302,7.8,35.7,34.4,24,48,508,1604,890,990,1850,1310,1000,2270,0.43,6.31,9900,35,236,220,21.6,5,13200,12800,12300,9700,12500,13900,23600,20100,22300,10800,8300,8100
Singapore,East Asia,88.2,94.8,29.3,28.7,2044,17.7,33.2,32.6,27,35,443,1717,480,700,2690,2070,880,2290,0.76,2.93,54800,76,238,350,22,5,9800,8600,8400,4600,19200,9700,21000,26500,11200,12600,7200,8000
Stockholm,Northern Europe,87.2,85.2,55.5,49.9,1803,25.7,63.7,57.3,29,32,446,1697,450,580,930,630,600,2320,2.21,8.12,20300,25,217,390,29,8.6,17400,15300,14800,18200,15300,14700,24800,22200,15600,16100,13300,13700
Sidney,South Asia and Australia,61.8,63,46.2,41.2,1847,22.2,74.8,66.7,11,26,262,1203,430,1060,1360,660,430,1790,1.79,4.71,14700,14,189,230,29.2,7.2,18800,11600,11900,12900,13200,18700,23900,20500,18700,14700,10900,9400
Taipei,East Asia,68,74.6,41.2,47.5,2136,17,60.6,69.8,21,26,421,1324,230,780,2080,1040,940,2270,0.45,3.77,15100,50,196,280,8.9,8.2,23700,19100,23700,13800,21400,30000,32900,20000,23700,13800,13200,9200
Tel-Aviv,Middle East,67.4,65.8,29.9,27.5,1940,17.5,44.4,40.8,12,53,321,1312,260,490,750,550,500,3290,0.87,5.59,21200,19,97,260,22.1,5.1,9100,10300,11500,6800,10700,20900,16800,18900,10700,8200,6700,4900
Tokyo,East Asia,132,142.7,86.8,89,1893,14.5,65.8,67.4,15,25,938,2569,1910,1800,5300,2020,1440,2920,1.54,14.45,18700,72,382,460,19.3,15.3,35700,32400,26500,25900,38700,32100,76800,51400,54900,27400,23000,20200
Toronto,North America,57.5,60.3,59.3,56.6,1888,13.4,103,98.3,9,20,300,1120,410,530,1240,810,650,1800,1.45,7.63,11400,18,150,220,23.7,9.8,25500,19700,20100,20300,22700,20900,30900,26800,16700,14000,14200,13200
Vienna,Central Europe,78,77,62,57.4,1744,26.8,79.5,73.6,13,27,402,1518,480,760,1690,720,410,2090,1.69,10.14,16900,33,309,340,26.4,9.9,18500,19200,17800,16200,20900,21700,36500,38700,23300,17600,12200,13600
Zurich,Central Europe,100,100,100,100,1874,23.7,100,100,12,21,570,1946,460,700,2280,1510,740,2440,2.24,14.36,16100,33,287,430,20.6,17.3,56800,46100,30500,26100,35800,27500,82500,45700,58800,31500,24700,23100
