KIDEN	Année	Region du monde	I_prix sans loyer	I_prix avec loyer	I_salaires bruts	I_salaires nets	Heures travail annuelles	Vacances annuelles payees	Pouvoir d'achat brut	Pouvoir d'achat net	Kg pain=temps de travail	Hamb=temps de travail	Denrées alimentaires	Panier complet	Dames vetements	Hommes vetements	4pièces appart meublé	3pièces appart non meublé	Loyer normale	Appareils ménagers	Bus tram ou metro	Taxi	Voitures	Restaurant	Nuit d'hôtel	Services diverses	Impots et cotisations sociales en % salaire brut	Salaire horaire net	Instituteur	Chauffeur d'autobus	Mécanicien autos	Manoeuvre du bâtiment	Tourneur	Cuisinier chef	Chef de service	Ingeniéur	Caissier de banque	Secrétaire direction	Vendeuse	Ouvrière du textile	revenu annuel net moyen	Axe factoriel revenus 1	Axe factoriel revenus 2	Axe factoriel revenus 3	Axe factoriel revenus 4	Axe factoriel revenus 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy	Inegalité des salaires	Manuels qualifiées	Femenins non qualifiées	Axe factoriel rapports 1	Axe factoriel rapports 2	Axe factoriel rapports 3	Axe factoriel rapports 4	Axe factoriel rapports 5	Instituteur/moy	Chauffeur/moy	Mécanicien/moy	Manoeuvre/moy	Tourneur/moy	Cuisinier/moy	Directeur/moy	Ingénieur/moy	Caissier/moy	Secrétaire/moy	Vendeuse/moy	Ouvrière/moy
Madrid91	Edition 1991	SUD EUROPE	93.80	100.70	49.80	50.00	1710.00	32.00	53.10	53.30	10.00	54.00	410.00	1638.00	502.00	1125.00	1842.00	1380.00	1010.00	3778.00	1.06	3.92	17886.00	74.00	323.00	335.00	18.30	7.97	17886.00	14202.00	14536.00	8708.00	14938.00	20498.00	20498.00	26527.00	21034.00	18355.00	11321.00	7637.00	13631.00	-0.35	0.07	0.35	0.07	-0.38	1.31	1.04	1.07	0.64	1.10	1.50	1.50	1.95	1.54	1.35	0.83	0.56	1.39	1.08	0.70	0.22	0.31	0.61	-0.15	-0.13	1.3089     1.35	1.0162     1.04	1.0309     1.07	0.6120     0.64	1.0959     1.10	1.4883     1.56	1.4493     1.56	1.8856     1.95	1.5011     1.58	1.2395     1.35	0.8305     0.86	0.5577     0.56
Madrid94	edition 1994	SUD EUROPE	60.60	63.50	42.00	42.60	1721.00	32.10	69.30	70.30	13.00	31.00	304.00	1180.00	290.00	590.00	1300.00	980.00	470.00	2500.00	0.91	4.20	12700.00	22.00	225.00	250.00	18.10	7.50	16600.00	14600.00	12900.00	7900.00	13400.00	20100.00	18400.00	23800.00	19100.00	16000.00	10100.00	8200.00	12908.00	0.06	0.00	0.32	0.09	-0.27	1.29	1.13	1.00	0.61	1.04	1.56	1.43	1.84	1.48	1.24	0.78	0.64	1.23	1.02	0.71	-0.07	-0.05	0.53	-0.22	-0.36	1.2860     1.29	1.1238     1.14	0.9784     1.00	0.6120     0.64	1.0346     1.04	1.4883     1.56	1.4141     1.45	1.7918     1.84	1.4354     1.50	1.2395     1.35	0.7742     0.78	0.6324     0.66
Manama91	Edition 1991	PROCHE ORIENT																																								0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Manama94	edition 1994	PROCHE ORIENT	62.00	63.40	20.70	25.10	2136.00	29.50	33.50	40.00	9.00	62.00	359.00	1206.00	310.00	750.00	1450.00	960.00	500.00	1790.00	0.13	5.29	15700.00	18.00	229.00	230.00	5.00	4.30	14800.00	7600.00	5300.00	2600.00	10400.00	25600.00	60300.00	18000.00	20700.00	12400.00	6500.00	2100.00	9185.00	0.82	2.05	0.70	0.81	0.62	1.61	0.83	0.58	0.28	1.13	2.79	6.57	1.96	2.25	1.35	0.71	0.23	6.34	0.85	0.47	4.09	-0.75	-2.03	-1.84	0.23	1.6113     1.62	0.8255     0.84	0.5770     0.68	0.2591     0.28	1.1268     1.13	2.7871     3.50	6.5651     9.13	1.9597     1.98	2.1098     2.82	1.3500     1.38	0.7050     0.72	0.1312     0.36
Manila91	Edition 1991	SUD ASIE ET AUSTRALI	40.00	43.40	3.70	4.00	2268.00	16.90	9.20	9.90	86.00	165.00	226.00	698.00	127.00	228.00	1742.00	583.00	300.00	1708.00	0.30	1.57	14737.00	15.00	196.00	94.00	13.70	0.60	1675.00	1139.00	1273.00	1005.00	1340.00	2947.00	3885.00	2947.00	2479.00	1675.00	1005.00	1273.00	1367.00	4.57	-0.27	-0.22	0.25	0.02	1.23	0.83	0.93	0.74	0.98	2.16	2.84	2.16	1.81	1.23	0.74	0.93	2.11	0.96	0.83	0.74	-0.50	0.67	0.05	-1.41	1.2201     1.24	0.8255     0.84	0.9200     0.93	0.7115     0.74	0.9717     0.99	2.0851     2.16	2.8420     3.00	2.1495     2.20	1.7750     1.81	1.2195     1.23	0.7336     0.75	0.9312     1.09
Manila94	edition 1994	SUD ASIE ET AUSTRALI	47.60	51.00	6.10	6.70	2217.00	15.00	12.70	14.00	49.00	126.00	283.00	926.00	150.00	320.00	1820.00	910.00	360.00	2100.00	0.11	0.91	18900.00	33.00	150.00	160.00	12.00	1.10	3300.00	1800.00	1800.00	1300.00	3200.00	5700.00	9700.00	6600.00	4100.00	2800.00	2100.00	1600.00	2439.00	4.05	-0.03	-0.10	0.19	0.12	1.35	0.74	0.74	0.53	1.31	2.34	3.98	2.71	1.68	1.15	0.86	0.66	3.44	1.03	0.76	1.95	-0.35	-0.77	0.56	-0.08	1.3089     1.35	0.6798     0.74	0.6898     0.75	0.5025     0.61	1.2886     1.31	2.2949     2.48	3.6575     4.38	2.7013     2.85	1.6000     1.68	1.1265     1.15	0.8610     0.88	0.6324     0.66
Mexico91	Edition 1991	NORD AMERIQUE	49.80	53.30	4.70	5.70	1944.00	10.10	9.50	11.50	37.00	235.00	214.00	869.00	382.00	616.00	2907.00	362.00	180.00	1896.00	0.09	2.81	12661.00	31.00	148.00	161.00	4.70	0.94	2010.00	1943.00	1943.00	1273.00	1809.00	1943.00	1675.00	3483.00	2880.00	1675.00	1742.00	1273.00	1823.00	4.50	-0.39	-0.29	0.24	-0.06	1.10	1.07	1.07	0.70	0.99	1.07	0.92	1.91	1.58	0.92	0.96	0.70	1.21	1.03	0.83	-0.80	-0.04	1.65	0.05	0.56	1.0980     1.11	1.0658     1.09	1.0309     1.07	0.6763     0.70	0.9867     0.99	1.0602     1.07	0.9188     1.37	1.8856     1.95	1.5011     1.58	0.9186     0.94	0.9556     1.05	0.6852     0.70
Mexico94	edition 1994	NORD AMERIQUE	50.10	54.60	13.80	15.10	2094.00	15.90	27.50	30.10	27.00	90.00	253.00	976.00	240.00	740.00	2510.00	1220.00	340.00	1850.00	0.12	2.58	10900.00	27.00	192.00	220.00	11.90	2.60	5000.00	6800.00	8000.00	1600.00	7100.00	8500.00	11300.00	20100.00	4200.00	5400.00	5300.00	3000.00	5444.00	2.83	-0.07	0.12	-0.32	0.25	0.92	1.25	1.47	0.29	1.30	1.56	2.08	3.69	0.77	0.99	0.97	0.55	3.40	1.39	0.76	0.42	1.71	0.20	1.22	2.29	0.9184     0.93	1.2224     1.25	1.3527     1.47	0.2939     0.36	1.2886     1.31	1.5613     1.69	2.0425     2.08	3.1504     3.69	0.6012     0.77	0.9716     1.00	0.9556     1.05	0.5253     0.55
Milan91	Edition 1991	SUD EUROPE	82.00	86.80	56.20	53.30	1773.00	24.60	68.60	65.00	17.00	33.00	395.00	1431.00	476.00	837.00	1916.00	998.00	440.00	2646.00	0.77	9.59	13197.00	38.00	359.00	301.00	24.60	8.51	14737.00	20029.00	15139.00	10986.00	17283.00	20900.00	23044.00	28068.00	22642.00	14135.00	13331.00	12795.00	15084.00	-0.88	-0.23	0.36	-0.21	-0.39	0.98	1.33	1.00	0.73	1.15	1.39	1.53	1.86	1.50	0.94	0.88	0.85	1.13	1.07	0.87	-1.13	-0.40	0.90	0.32	0.41	0.9391     0.99	1.3278     1.40	1.0036     1.01	0.7115     0.74	1.1458     1.17	1.3839     1.41	1.4493     1.56	1.8450     1.88	1.5011     1.58	0.9371     0.94	0.8820     0.90	0.8393     0.85
Milan94	edition 1994	SUD EUROPE	64.40	70.40	48.50	42.20	1785.00	24.80	75.30	65.60	23.00	36.00	354.00	1253.00	390.00	750.00	1470.00	1170.00	670.00	1890.00	0.74	8.89	15200.00	31.00	307.00	270.00	31.10	7.30	13000.00	16700.00	13100.00	9800.00	14500.00	17200.00	20400.00	23100.00	18500.00	12500.00	11800.00	11400.00	13031.00	-0.02	-0.34	0.22	-0.14	-0.37	1.00	1.28	1.01	0.75	1.11	1.32	1.57	1.77	1.42	0.96	0.91	0.87	1.02	1.06	0.89	-1.20	-0.44	1.13	0.44	0.33	0.9976     1.01	1.2751     1.29	1.0036     1.01	0.7378     0.78	1.1123     1.13	1.2808     1.35	1.5623     1.58	1.7719     1.79	1.4114     1.43	0.9508     0.96	0.9055     0.95	0.8552     0.88
Montreal91	Edition 1991	NORD AMERIQUE	72.70	73.80	64.10	56.30	1827.00	17.20	88.10	77.40	10.00	21.00	316.00	1269.00	375.00	670.00	1246.00	623.00	710.00	2023.00	1.25	6.22	11455.00	28.00	180.00	248.00	29.80	8.98	21101.00	21838.00	18355.00	17216.00	22173.00	19427.00	26795.00	22240.00	13465.00	13532.00	11790.00	10986.00	16400.00	-1.05	-1.10	0.47	0.30	0.37	1.29	1.33	1.12	1.05	1.35	1.18	1.63	1.36	0.82	0.83	0.72	0.67	0.96	1.24	0.69	-2.63	0.41	-0.40	-0.47	0.27	1.2860     1.29	1.3278     1.40	1.1187     1.15	1.0498     1.10	1.3520     1.38	1.1846     1.19	1.5982     1.64	1.3191     1.36	0.7774     0.82	0.7567     0.83	0.7050     0.72	0.6699     0.67
Montreal94	edition 1994	NORD AMERIQUE	60.90	59.20	62.10	58.10	1896.00	15.00	101.90	95.30	12.00	21.00	291.00	1186.00	380.00	660.00	1050.00	440.00	360.00	2100.00	1.42	5.81	10800.00	27.00	163.00	250.00	25.40	10.10	21200.00	21500.00	21100.00	20400.00	21300.00	20700.00	35400.00	30200.00	22300.00	19200.00	13500.00	14300.00	19150.00	-2.17	-0.77	0.40	-0.09	-0.20	1.11	1.12	1.10	1.07	1.11	1.08	1.85	1.58	1.16	1.00	0.70	0.75	1.14	1.11	0.73	-1.75	0.39	0.55	-0.46	-0.37	1.0980     1.11	1.1151     1.12	1.0947     1.11	1.0498     1.10	1.1123     1.13	1.0759     1.11	1.8486     1.91	1.5434     1.58	1.1420     1.18	1.0026     1.01	0.7050     0.72	0.7467     0.76
Nairobi91	Edition 1991	AFRIQUE	45.00	45.30	5.10	5.80	1958.00	28.50	11.40	12.80	31.00	82.00	143.00	786.00	80.00	295.00	817.00	610.00	290.00	2358.00	0.20	3.56	18958.00	9.00	108.00	121.00	10.40	0.94	1474.00	670.00	2010.00	469.00	1809.00	6498.00	3818.00	3885.00	3684.00	3684.00	871.00	737.00	1836.00	4.36	-0.10	0.04	0.28	-0.01	0.80	0.36	1.09	0.26	0.99	3.54	2.08	2.12	2.01	2.01	0.47	0.40	3.28	1.04	0.44	4.24	2.82	-0.09	-0.85	-3.25	0.7772     0.84	0.3015     0.46	1.0947     1.11	0.1330     0.26	0.9717     0.99	3.5392     3.64	2.0795     2.10	1.9807     2.12	1.8668     2.01	1.8325     2.01	0.4615     0.52	0.3608     0.40
Nairobi94	edition 1994	AFRIQUE	31.30	30.20	2.10	2.30	1930.00	25.30	6.80	7.40	44.00	177.00	112.00	610.00	50.00	160.00	500.00	240.00	160.00	2350.00	0.11	3.05	12600.00	8.00	112.00	90.00	12.70	0.40	600.00	400.00	700.00	200.00	800.00	2700.00	1500.00	2400.00	1400.00	1600.00	400.00	300.00	772.00	4.82	-0.26	-0.20	0.25	0.03	0.78	0.52	0.91	0.26	1.04	3.50	1.94	3.11	1.81	2.07	0.52	0.39	3.24	0.97	0.45	4.67	2.27	-0.45	-0.03	-3.03	0.7772     0.84	0.4712     0.68	0.9067     0.92	0.2591     0.28	1.0346     1.04	2.7871     3.50	1.9101     1.94	2.9150     3.15	1.7750     1.81	2.0725     3.36	0.4615     0.52	0.3608     0.40
NewYork91	Edition 1991	NORD AMERIQUE	83.30	103.90	68.20	65.80	1942.00	12.20	81.80	79.00	22.00	26.00	476.00	1454.00	415.00	851.00	4200.00	2097.00	1790.00	1628.00	1.15	7.00	14001.00	30.00	285.00	268.00	22.70	10.52	24920.00	26259.00	23513.00	22776.00	25857.00	23312.00	67122.00	35035.00	22307.00	20565.00	11656.00	11656.00	20424.00	-3.10	-0.09	0.48	0.24	0.82	1.22	1.29	1.15	1.12	1.27	1.14	3.29	1.72	1.09	1.01	0.57	0.57	2.72	1.21	0.57	-1.56	0.66	-0.91	-1.26	0.19	1.2201     1.24	1.2751     1.29	1.1512     1.17	1.1087     1.12	1.2660     1.28	1.1340     1.16	3.2585     3.41	1.6746     1.72	1.0716     1.09	1.0026     1.01	0.5542     0.59	0.5650     0.58
NewYork94	edition 1994	NORD AMERIQUE	83.20	93.80	73.60	74.50	1940.00	11.00	88.50	89.50	14.00	23.00	408.00	1620.00	550.00	1150.00	4200.00	1680.00	930.00	1700.00	1.25	6.35	10000.00	44.00	219.00	380.00	20.20	12.80	29000.00	26200.00	24500.00	25700.00	31100.00	30600.00	62100.00	43800.00	24700.00	21100.00	20300.00	17800.00	24832.00	-4.60	-0.30	0.99	-0.35	0.35	1.17	1.06	0.99	1.03	1.25	1.23	2.50	1.76	0.99	0.85	0.82	0.72	1.78	1.12	0.77	-1.51	0.17	0.17	0.00	0.25	1.1618     1.20	1.0452     1.06	0.9784     1.00	0.9823     1.03	1.2457     1.25	1.2076     1.24	2.4848     2.54	1.7638     1.77	0.9767     1.01	0.8288     0.88	0.8121     0.82	0.7131     0.72
Nicosia91	Edition 1991	SUD EUROPE	47.90	47.20	26.50	28.30	1825.00	20.30	55.30	59.20	8.00	40.00	214.00	836.00	208.00	402.00	630.00	268.00	380.00	2613.00	0.50	3.28	12527.00	13.00	163.00	141.00	13.70	4.56	12058.00	8441.00	8441.00	7101.00	9981.00	11790.00	15876.00	15541.00	12460.00	7838.00	5493.00	5024.00	8313.00	1.90	-0.19	0.05	0.23	0.08	1.45	1.02	1.02	0.85	1.20	1.42	1.91	1.87	1.50	0.94	0.66	0.60	1.31	1.11	0.63	-0.84	0.15	-0.48	-0.82	-0.33	1.4138     1.45	0.9866     1.02	1.0123     1.02	0.8427     0.87	1.1957     1.21	1.4138     1.46	1.8486     1.91	1.8450     1.88	1.4354     1.50	0.9429     0.95	0.6595     0.68	0.5935     0.61
Nicosia94	edition 1994	SUD EUROPE	49.90	48.50	27.40	27.40	1837.00	18.50	54.80	54.90	12.00	51.00	239.00	972.00	280.00	460.00	600.00	310.00	360.00	3020.00	0.64	3.37	16700.00	14.00	202.00	180.00	20.30	4.80	16200.00	8700.00	8100.00	7400.00	9900.00	10000.00	16200.00	15800.00	13200.00	8100.00	5500.00	6100.00	8818.00	1.78	-0.27	-0.27	0.26	0.10	1.84	0.99	0.92	0.84	1.12	1.13	1.84	1.79	1.50	0.92	0.62	0.69	1.21	1.02	0.66	-1.20	-0.80	-0.64	-0.74	-0.69	1.7967     2.07	0.9866     1.02	0.9067     0.92	0.8237     0.84	1.1123     1.13	1.1340     1.16	1.7956     1.84	1.7719     1.79	1.4354     1.50	0.9186     0.94	0.6237     0.64	0.6852     0.70
Oslo91	Edition 1991	NORD EUROPE	115.50	111.60	80.90	63.70	1583.00	31.40	70.10	55.20	12.00	43.00	612.00	2016.00	589.00	831.00	1012.00	831.00	740.00	2686.00	1.88	7.45	22441.00	32.00	211.00	355.00	37.80	10.18	13666.00	14202.00	15340.00	15407.00			16412.00	16881.00	16345.00	15206.00	13867.00	14268.00	16118.00	-0.33	-1.13	0.32	-0.09	-0.86	0.85	0.88	0.95	0.96			1.02	1.05	1.01	0.94	0.86	0.89	0.20		0.87	-1.75	0.55	1.38	0.63	-0.83	0.8479     0.91	0.8757     0.89	0.9383     0.95	0.9425     0.96			0.9188     1.37	1.0373     1.14	1.0113     1.02	0.9429     0.95	0.8569     0.86	0.8852     0.92
Oslo94	edition 1994	NORD EUROPE	101.30	95.80	68.80	60.00	1728.00	23.20	67.90	59.20	11.00	35.00	517.00	1971.00	580.00	1090.00	820.00	550.00	520.00	2820.00	2.19	9.59	25800.00	36.00	219.00	410.00	31.40	10.30	19100.00	16800.00	16700.00	16800.00	23400.00	16200.00	36000.00	27600.00	19400.00	18900.00	15100.00	15400.00	17798.00	-1.66	-0.73	0.02	-0.37	-0.38	1.07	0.94	0.94	0.94	1.31	0.91	2.02	1.55	1.09	1.06	0.85	0.87	1.17	1.13	0.86	-1.54	0.14	0.53	1.01	-0.13	1.0715     1.08	0.8927     0.95	0.9383     0.95	0.9425     0.96	1.3147     1.34	0.8712     0.95	1.9935     2.04	1.5434     1.58	1.0716     1.09	1.0595     1.07	0.8305     0.86	0.8552     0.88
Panama91	Edition 1991	SUD AMERIQUE	49.20	54.30	13.10	13.80	2078.00	28.60	26.70	28.10	50.00	66.00	241.00	859.00	214.00	355.00	1474.00	288.00	550.00	1400.00	0.20	1.12	13867.00	17.00	123.00	214.00	15.20	2.21	4287.00	7302.00	3818.00	2947.00	4890.00	9579.00	8775.00	9378.00	6498.00	6632.00	2546.00	3148.00	4594.00	3.24	-0.14	0.00	0.17	0.08	0.93	1.59	0.83	0.64	1.06	2.09	1.91	2.04	1.41	1.44	0.55	0.69	1.53	0.95	0.62	0.21	-0.30	-0.54	-0.48	-1.16	0.9184     0.93	1.5895     1.69	0.8224     0.84	0.6415     0.68	1.0628     1.08	2.0851     2.16	1.9101     1.94	1.9807     2.12	1.4114     1.43	1.3819     1.51	0.5542     0.59	0.6852     0.70
Panama94	edition 1994	SUD AMERIQUE	54.20	60.80	16.60	18.00	2040.00	33.00	30.60	33.30	18.00	53.00	270.00	1054.00	480.00	730.00	2500.00	1500.00	500.00	2320.00	0.30	1.25	15900.00	20.00	160.00	200.00	12.80	3.10	5300.00	8200.00	5300.00	4200.00	4900.00	13500.00	19000.00	15800.00	20400.00	9300.00	3700.00	4200.00	6324.00	2.22	0.62	0.02	0.20	-0.33	0.84	1.30	0.84	0.66	0.77	2.13	3.00	2.50	3.23	1.47	0.59	0.66	2.64	0.81	0.62	2.33	-0.90	0.57	-1.93	-1.05	0.7772     0.84	1.2868     1.33	0.8224     0.84	0.6415     0.68	0.7748     0.91	2.0851     2.16	2.8420     3.00	2.4388     2.58	3.2258     3.50	1.3819     1.51	0.5542     0.59	0.6574     0.66
Paris91	Edition 1991	CENTRAL EUROPE	81.60	82.40	48.10	45.90	1744.00	27.00	59.00	56.20	18.00	39.00	395.00	1425.00	630.00	804.00	1333.00	945.00	610.00	2512.00	0.82	6.33	15005.00	24.00	267.00	288.00	24.30	7.37	16278.00	14536.00	12929.00	10048.00	14603.00	13733.00	37245.00	28269.00	12996.00	14603.00	10584.00	9244.00	12851.00	-0.06	0.01	-0.05	-0.31	0.20	1.27	1.13	1.01	0.78	1.14	1.07	2.90	2.20	1.01	1.14	0.82	0.72	2.18	1.07	0.77	-0.57	-0.17	0.23	0.43	0.42	1.2619     1.27	1.1238     1.14	1.0036     1.01	0.7819     0.79	1.1354     1.15	1.0602     1.07	2.8420     3.00	2.1495     2.20	1.0113     1.02	1.1265     1.15	0.8219     0.83	0.7189     0.72
Paris94	edition 1994	CENTRAL EUROPE	84.80	87.00	51.90	49.60	1790.00	27.90	61.20	58.60	19.00	38.00	471.00	1650.00	550.00	1020.00	2170.00	1040.00	750.00	2660.00	1.13	9.55	18400.00	22.00	318.00	320.00	24.60	8.50	16200.00	19400.00	13100.00	9300.00	14900.00	23000.00	55800.00	41100.00	32100.00	16300.00	11900.00	12900.00	15215.00	-1.65	1.41	0.07	-0.53	-0.05	1.06	1.28	0.86	0.61	0.98	1.51	3.67	2.70	2.11	1.07	0.78	0.85	3.06	0.92	0.81	0.81	-1.28	0.31	-0.15	0.39	1.0173     1.06	1.2751     1.29	0.8400     0.86	0.5025     0.61	0.9717     0.99	1.4883     1.56	3.6575     4.38	2.7013     2.85	2.1098     2.82	1.0595     1.07	0.7742     0.78	0.8393     0.85
Prague91	Edition 1991	EUROPE ORIENTAL																																								0.00	0.00	0.00	0.00	0.00																0.00	0.00	0.00	0.00	0.00												
Prague94	edition 1994	EUROPE ORIENTAL	35.90	34.80	6.40	6.40	1978.00	19.50	17.90	17.80	23.00	141.00	149.00	699.00	160.00	220.00	980.00	520.00	40.00	2000.00	0.20	2.62	6500.00	10.00	236.00	110.00	21.10	1.10	1800.00	2800.00	2900.00	1700.00	2600.00	3800.00	5500.00	2900.00	3500.00	2200.00	1700.00	1100.00	2176.00	4.29	-0.31	-0.13	0.36	0.01	0.83	1.29	1.33	0.78	1.19	1.75	2.53	1.33	1.61	1.01	0.78	0.51	2.02	1.26	0.64	-0.60	1.40	0.45	-1.42	0.88	0.7772     0.84	1.2868     1.33	1.3258     1.34	0.7378     0.78	1.1810     1.19	1.6960     1.77	2.4848     2.54	1.3191     1.36	1.6000     1.68	1.0110     1.02	0.7742     0.78	0.5055     0.52
RiodeJaneiro91	Edition 1991	SUD AMERIQUE	46.30	54.40	9.60	10.50	1749.00	26.50	20.90	22.70	30.00	79.00	175.00	807.00	167.00	201.00	1929.00	1474.00	370.00	1447.00	0.24	3.03	15809.00	24.00	172.00	214.00	11.90	1.67	1943.00	3483.00	3282.00	804.00	3617.00	4957.00	16077.00	7637.00	2814.00	3952.00	2747.00	1876.00	2929.00	3.85	0.03	-0.12	0.12	0.17	0.66	1.19	1.12	0.27	1.23	1.69	5.49	2.61	0.96	1.35	0.94	0.64	5.21	1.18	0.79	1.82	0.88	-0.06	1.10	1.90	0.6596     0.73	1.1438     1.19	1.1187     1.15	0.2591     0.28	1.2269     1.24	1.5613     1.69	5.4889     6.01	2.5930     2.70	0.9153     0.97	1.2395     1.35	0.9055     0.95	0.6324     0.66
RiodeJaneiro94	edition 1994	SUD AMERIQUE	54.80	60.60	10.50	12.20	1857.00	24.00	19.10	22.20	39.00	107.00	244.00	1067.00	230.00	380.00	2450.00	1580.00	450.00	2180.00	0.28	2.58	15300.00	19.00	194.00	260.00	7.80	2.10	2000.00	4700.00	3000.00	1400.00	4300.00	3200.00	22800.00	11100.00	6800.00	6700.00	4400.00	2000.00	3900.00	3.40	0.28	-0.41	0.02	-0.05	0.51	1.21	0.77	0.36	1.10	0.82	5.85	2.85	1.74	1.72	1.13	0.51	5.49	0.94	0.82	3.07	-0.28	0.96	1.36	2.54	0.5128     0.58	1.1896     1.21	0.7692     0.82	0.2939     0.36	1.0959     1.10	0.8205     0.87	5.4889     6.01	2.7013     2.85	1.7220     1.77	1.5089     1.72	1.0769     1.13	0.5055     0.52
SaoPaulo91	Edition 1991	SUD AMERIQUE	48.90	52.30	11.10	11.10	1856.00	30.70	22.60	22.60	32.00	106.00	167.00	854.00	188.00	315.00	1400.00	864.00	420.00	1661.00	0.37	3.34	16613.00	15.00	201.00	221.00	19.70	1.74	3550.00	3952.00	3014.00	1340.00	3818.00	2412.00	10919.00	7101.00	2546.00	7838.00	2345.00	1407.00	3233.00	3.83	-0.21	-0.45	0.12	0.00	1.10	1.22	0.93	0.41	1.18	0.75	3.38	2.20	0.79	2.42	0.73	0.44	2.96	1.06	0.58	1.82	0.77	-0.33	1.44	-0.22	1.0980     1.11	1.2224     1.25	0.9318     0.94	0.3741     0.41	1.1810     1.19	0.4831     0.75	3.2585     3.41	2.1495     2.20	0.7774     0.82	2.0725     3.36	0.7211     0.73	0.4181     0.50
SaoPaulo94	edition 1994	SUD AMERIQUE	54.20	61.10	14.40	14.90	1827.00	30.70	26.70	27.60	30.00	84.00	248.00	1054.00	180.00	320.00	2490.00	1430.00	590.00	1790.00	0.40	3.63	16000.00	40.00	266.00	330.00	14.60	2.70	3600.00	4700.00	5400.00	1900.00	7600.00	6100.00	16800.00	11600.00	6000.00	6700.00	3600.00	2400.00	4933.00	3.18	-0.01	-0.13	0.04	0.11	0.73	0.95	1.09	0.39	1.54	1.24	3.41	2.35	1.22	1.36	0.73	0.49	3.02	1.32	0.61	0.95	2.00	-1.18	0.92	1.02	0.6596     0.73	0.9515     0.97	1.0947     1.11	0.3741     0.41	1.4764     1.57	1.2076     1.24	3.2585     3.41	2.2511     2.35	1.2112     1.25	1.3500     1.38	0.7211     0.73	0.4181     0.50
Seoul91	Edition 1991	EST ASIE	58.30		27.60	32.70	1842.00	23.80	47.40	56.00	18.00	30.00	379.00	1018.00	516.00	342.00				2251.00	0.59		11187.00	19.00	82.00	154.00	6.10	5.23	14202.00	6565.00	9177.00	7101.00	15072.00	13599.00	17283.00	17283.00	13800.00	8508.00	7034.00	7302.00	9625.00	1.39	-0.25	0.12	0.08	0.07	1.48	0.68	0.95	0.74	1.57	1.41	1.80	1.80	1.43	0.88	0.73	0.76	1.11	1.26	0.74	-0.99	0.49	-1.06	0.68	-0.37	1.4684     1.49	0.6798     0.74	0.9535     0.97	0.7378     0.78	1.4764     1.57	1.3839     1.41	1.7956     1.84	1.7918     1.84	1.4114     1.43	0.8288     0.88	0.7211     0.73	0.7467     0.76
Seoul94	edition 1994	EST ASIE	82.40	87.30	29.40	28.40	2302.00	7.80	35.70	34.40	24.00	48.00	508.00	1604.00	890.00	990.00	1850.00	1310.00	1000.00	2270.00	0.43	6.31	9900.00	35.00	236.00	220.00	21.60	5.00	13200.00	12800.00	12300.00	9700.00	12500.00	13900.00	23600.00	20100.00	22300.00	10800.00	8300.00	8100.00	11510.00	0.61	-0.04	0.01	0.21	-0.32	1.15	1.11	1.07	0.84	1.09	1.21	2.05	1.75	1.94	0.94	0.72	0.70	1.35	1.08	0.71	-0.79	-0.02	0.44	-0.92	0.06	1.1221     1.16	1.0918     1.11	1.0686     1.08	0.8427     0.87	1.0820     1.09	1.2076     1.24	2.0425     2.08	1.7359     1.75	1.8668     2.01	0.9371     0.94	0.7211     0.73	0.7037     0.71
Singapore91	Edition 1991	EST ASIE	64.40	77.10	17.10	16.10	2042.00	18.90	26.60	25.00	39.00	70.00	374.00	1125.00	161.00	442.00	2090.00	636.00	1310.00	1601.00	0.52	2.20	46557.00	21.00	157.00	154.00	24.90	2.55	7168.00	4555.00	4689.00	2479.00	5560.00	6029.00	22776.00	16613.00	6364.00	8039.00	3885.00	2814.00	5198.00	2.90	0.27	-0.31	-0.13	0.22	1.38	0.88	0.90	0.48	1.07	1.16	4.38	3.20	1.22	1.55	0.75	0.54	3.90	0.99	0.64	2.04	-0.01	-0.57	0.68	0.30	1.3639     1.38	0.8757     0.89	0.8876     0.90	0.4634     0.48	1.0628     1.08	1.1599     1.18	3.6575     4.38	3.1504     3.69	1.2112     1.25	1.5089     1.72	0.7336     0.75	0.5253     0.55
Singapore94	edition 1994	EST ASIE	88.20	94.80	29.30	28.70	2044.00	17.70	33.20	32.60	27.00	35.00	443.00	1717.00	480.00	700.00	2690.00	2070.00	880.00	2290.00	0.76	2.93	54800.00	76.00	238.00	350.00	22.00	5.00	9800.00	8600.00	8400.00	4600.00	19200.00	9700.00	21000.00	26500.00	11200.00	12600.00	7200.00	8000.00	10220.00	1.16	-0.16	-0.32	-0.69	0.18	0.96	0.84	0.82	0.45	1.88	0.95	2.05	2.59	1.10	1.23	0.70	0.78	2.14	1.35	0.74	-0.28	1.14	-2.06	2.67	0.20	0.9391     0.99	0.8415     0.87	0.7692     0.82	0.4148     0.45	1.6435     1.88	0.9480     0.96	2.0425     2.08	2.5930     2.70	1.0949     1.11	1.2195     1.23	0.6988     0.70	0.7653     0.78
